measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,displayName,configuredCapacity,configuredCapacityUnit,totalBytes,totalBytesUnit,networkServiceIndicator,networkServiceIndicatorFactor,networkServiceIndicatorUnit,monitoringMechanism,maxMicroburst,maxMicroburstUnit,oneSecondPeak,oneSecondPeakUnit,recommendation,measuresMessages,packetMicroburstAvailable,effectiveCapacity,effectiveCapacityUnit,averageUtilisation,averageUtilisationUnit,linkSizePacketDelay,linkSizePacketDelayUnit,linkSizeQueueLength,linkSizeQueueLengthUnit
channel/LSE-Infolect//London_CNE/FeedHandler/Infolect,,,,,,[LSE-Infolect] -> London_CNE[FeedHandler] Infolect,50000,kbps,29747720,B,-1,100,,none,38805,kbps,1216,kbps,none,FALSE,TRUE,50000,kbps,0,%,2487,kbps,3463,kbps
channel/LSE-Infolect//London_CNE/FeedHandler/MarketData,,,,,,[LSE-Infolect] -> London_CNE[FeedHandler] MarketData,50000,kbps,29747720,B,10,100,,pnqm,38805,kbps,1216,kbps,none,FALSE,TRUE,50000,kbps,0,%,2487,kbps,3463,kbps
channel/LSE-Infolect//London_CNE/FeedHandler/MarketData%40PortB,,,,,,[LSE-Infolect] -> London_CNE[FeedHandler] MarketData@PortB,50000,kbps,29747720,B,0,100,,tcp,17458,kbps,1216,kbps,none,FALSE,TRUE,50000,kbps,0,%,,,,
channel/Nasdaq-ITCH/London_CNE///,,,,,,London_CNE[Nasdaq-ITCH] -> [any] ,0,kbps,4988624,B,0,100,,tcp,33600,messages per second,569,messages per second,none,TRUE,FALSE,,,,,,,,
channel/OPRA-A//London_CNE/FeedHandler/,,,,,,[OPRA-A] -> London_CNE[FeedHandler] ,1000000,kbps,16607,B,-1,100,,none,26544,kbps,54,kbps,none,FALSE,TRUE,1000000,kbps,0,%,1110,kbps,1,kbps
channel/OPRA-B//London_CNE/FeedHandler/,,,,,,[OPRA-B] -> London_CNE[FeedHandler] ,50000,kbps,16607,B,-1,100,,none,26544,kbps,54,kbps,none,FALSE,TRUE,50000,kbps,0,%,1099,kbps,1,kbps
channel/OpenBookUltra//London_CNE/FeedHandler/OpenBook,,,,,,[OpenBookUltra] -> London_CNE[FeedHandler] OpenBook,50000,kbps,13930176,B,-1,100,,none,7096,kbps,401,kbps,none,TRUE,TRUE,50000,kbps,0,%,908,kbps,840,kbps
channel/OrderRouter//London_CNE/VENUES/Venue%20Responses,,,,,,London_CNE[VENUES] <- [OrderRouter] Venue Responses,0,kbps,5390741,B,-1,100,,none,650,messages per second,42,messages per second,none,TRUE,FALSE,,,,,,,,
channel/OrderRouter/London_CNE//Broker_MetroBank/,,,,,,London_CNE[OrderRouter] -> [Broker_MetroBank] ,100000,kbps,91241,B,50,100,,pnqm,50,messages per second,3,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//Broker_MetroBank/Session-1,,,,,,London_CNE[OrderRouter] -> [Broker_MetroBank] Session-1,100000,kbps,61568,B,50,100,,pnqm,50,messages per second,3,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//Broker_MetroBank/Session-2,,,,,,London_CNE[OrderRouter] -> [Broker_MetroBank] Session-2,100000,kbps,29673,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//Broker_OTCtrade/,,,,,,London_CNE[OrderRouter] -> [Broker_OTCtrade] ,100000,kbps,839592,B,60,100,,pnqm,1522,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//Broker_OTCtrade/Session-1,,,,,,London_CNE[OrderRouter] -> [Broker_OTCtrade] Session-1,100000,kbps,51008,B,0,100,,pnqm,50,messages per second,2,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//Broker_OTCtrade/Session-2,,,,,,London_CNE[OrderRouter] -> [Broker_OTCtrade] Session-2,100000,kbps,788584,B,60,100,,pnqm,1522,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUES/VenueLatency,,,,,,London_CNE[OrderRouter] -> [VENUES] VenueLatency,100000,kbps,11993598,B,60,100,,pnqm,1522,messages per second,92,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Chicago/,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] ,100000,kbps,3193696,B,10,100,,pnqm,650,messages per second,31,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Chicago/Session-1,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-1,100000,kbps,1236512,B,10,100,,pnqm,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Chicago/Session-2,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-2,100000,kbps,1309498,B,10,100,,pnqm,300,messages per second,12,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Chicago/Session-3,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-3,100000,kbps,233011,B,10,100,,pnqm,300,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Chicago/Session-4,,,,,,London_CNE[OrderRouter] -> [VENUE_Chicago] Session-4,100000,kbps,232831,B,10,100,,pnqm,300,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_LambdaATS/,,,,,,London_CNE[OrderRouter] -> [VENUE_LambdaATS] ,100000,kbps,467844,B,10,100,,pnqm,750,messages per second,35,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Lambda_ATS/Session-1,,,,,,London_CNE[OrderRouter] -> [VENUE_Lambda_ATS] Session-1,100000,kbps,125633,B,10,100,,pnqm,350,messages per second,16,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_Lambda_ATS/Session-2,,,,,,London_CNE[OrderRouter] -> [VENUE_Lambda_ATS] Session-2,100000,kbps,342211,B,10,100,,pnqm,750,messages per second,35,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_London/,,,,,,London_CNE[OrderRouter] -> [VENUE_London] ,100000,kbps,7365505,B,480,100,,pnqm,650,messages per second,58,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_London/Session-1,,,,,,London_CNE[OrderRouter] -> [VENUE_London] Session-1,100000,kbps,11754,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_London/Session-2,,,,,,London_CNE[OrderRouter] -> [VENUE_London] Session-2,100000,kbps,12480,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_London/Session-3,,,,,,London_CNE[OrderRouter] -> [VENUE_London] Session-3,100000,kbps,6534061,B,80,100,,pnqm,650,messages per second,58,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_NewYork/,,,,,,London_CNE[OrderRouter] -> [VENUE_NewYork] ,100000,kbps,35720,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/OrderRouter/London_CNE//VENUE_NewYork/Session-1,,,,,,London_CNE[OrderRouter] -> [VENUE_NewYork] Session-1,100000,kbps,35720,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/PropTradersA/London_CNE//VENUE_NJ-ATS/order-ack-latency,,,,,,London_CNE[PropTradersA] -> [VENUE_NJ-ATS] order-ack-latency,0,kbps,33477200,B,60,100,,pnqm,1360,messages per second,169,messages per second,none,TRUE,FALSE,,,,,,,,
channel/PropTradersA/London_CNE//VENUE_NJ-ATS/order-to-tick-latency,,,,,,London_CNE[PropTradersA] -> [VENUE_NJ-ATS] order-to-tick-latency,0,kbps,33477200,B,9990,100,,pnqm,1360,messages per second,169,messages per second,none,TRUE,FALSE,,,,,,,,
channel/PropTradersB/London_CNE//VENUE_Nasdaq/order-ack-latency,,,,,,London_CNE[PropTradersB] -> [VENUE_Nasdaq] order-ack-latency,0,kbps,6138080,B,10,100,,pnqm,500,messages per second,94,messages per second,none,TRUE,FALSE,,,,,,,,
channel/PropTradersB/London_CNE//VENUE_Nasdaq/order-to-tick-latency,,,,,,London_CNE[PropTradersB] -> [VENUE_Nasdaq] order-to-tick-latency,0,kbps,6138080,B,10,100,,pnqm,500,messages per second,94,messages per second,none,TRUE,FALSE,,,,,,,,
channel/TotalViewITCH//London_CNE/FeedHandler/,,,,,,[TotalViewITCH] -> London_CNE[FeedHandler] ,50000,kbps,34127770,B,-1,100,,none,147528,kbps,2798,kbps,none,FALSE,TRUE,50000,kbps,0,%,14493,kbps,21999,kbps
channel/Unmatched%20Traffic//London_CNE//Unmatched%20Traffic,,,,,,London_CNE[any] <- [Unmatched Traffic] Unmatched Traffic,0,kbps,0,B,-1,100,,none,0,kbps,0,kbps,none,FALSE,TRUE,,,,,,,,
channel/VENUES//London_CNE/OrderRouter/VenueLatency,,,,,,London_CNE[OrderRouter] <- [VENUES] VenueLatency,100000,kbps,16814224,B,-1,100,,none,10550,messages per second,763,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUES/London_CNE//OrderRouter/Venue%20Responses,,,,,,London_CNE[VENUES] -> [OrderRouter] Venue Responses,0,kbps,8405959,B,470,100,,pnqm,650,messages per second,51,messages per second,none,TRUE,FALSE,,,,,,,,
channel/VENUE_Chicago//London_CNE/AlgoEngine/AlgoLatency,,,,,,London_CNE[AlgoEngine] <- [VENUE_Chicago] AlgoLatency,0,kbps,529560,B,0,100,,pnqm,37,messages per second,1,messages per second,none,TRUE,FALSE,,,,,,,,
channel/VENUE_Chicago//London_CNE/OrderRouter/,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] ,100000,kbps,6423396,B,-1,100,,none,10550,messages per second,757,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_Chicago//London_CNE/OrderRouter/Session-1,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-1,100000,kbps,2506268,B,-1,100,,none,6350,messages per second,259,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_Chicago//London_CNE/OrderRouter/Session-2,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-2,100000,kbps,2619671,B,-1,100,,none,6100,messages per second,259,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_Chicago//London_CNE/OrderRouter/Session-3,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-3,100000,kbps,460488,B,-1,100,,none,5050,messages per second,210,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_Chicago//London_CNE/OrderRouter/Session-4,,,,,,London_CNE[OrderRouter] <- [VENUE_Chicago] Session-4,100000,kbps,459947,B,-1,100,,none,5050,messages per second,210,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_LambdaATS//London_CNE/OrderRouter/,,,,,,London_CNE[OrderRouter] <- [VENUE_LambdaATS] ,100000,kbps,426605,B,-1,100,,none,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-1,,,,,,London_CNE[OrderRouter] <- [VENUE_Lambda_ATS] Session-1,100000,kbps,116117,B,-1,100,,none,550,messages per second,18,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_Lambda_ATS//London_CNE/OrderRouter/Session-2,,,,,,London_CNE[OrderRouter] <- [VENUE_Lambda_ATS] Session-2,100000,kbps,310488,B,-1,100,,none,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_London//London_CNE/OrderRouter/,,,,,,London_CNE[OrderRouter] <- [VENUE_London] ,100000,kbps,7735236,B,-1,100,,none,600,messages per second,50,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_London//London_CNE/OrderRouter/Session-1,,,,,,London_CNE[OrderRouter] <- [VENUE_London] Session-1,100000,kbps,44771,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_London//London_CNE/OrderRouter/Session-2,,,,,,London_CNE[OrderRouter] <- [VENUE_London] Session-2,100000,kbps,48352,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_London//London_CNE/OrderRouter/Session-3,,,,,,London_CNE[OrderRouter] <- [VENUE_London] Session-3,100000,kbps,6942451,B,-1,100,,none,600,messages per second,50,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_NJ-ATS//London_CNE/PropTradersA/order-ack-latency,,,,,,London_CNE[PropTradersA] <- [VENUE_NJ-ATS] order-ack-latency,0,kbps,26212384,B,-1,100,,none,2730,messages per second,295,messages per second,none,TRUE,FALSE,,,,,,,,
channel/VENUE_NJ-ATS//London_CNE/PropTradersA/order-to-tick-latency,,,,,,London_CNE[PropTradersA] <- [VENUE_NJ-ATS] order-to-tick-latency,0,kbps,26212384,B,0,100,,pnqm,2730,messages per second,295,messages per second,none,TRUE,FALSE,,,,,,,,
channel/VENUE_Nasdaq//London_CNE/PropTradersB/order-ack-latency,,,,,,London_CNE[PropTradersB] <- [VENUE_Nasdaq] order-ack-latency,0,kbps,6100176,B,-1,100,,none,540,messages per second,106,messages per second,none,TRUE,FALSE,,,,,,,,
channel/VENUE_Nasdaq//London_CNE/PropTradersB/order-to-tick-latency,,,,,,London_CNE[PropTradersB] <- [VENUE_Nasdaq] order-to-tick-latency,0,kbps,6100176,B,0,100,,pnqm,540,messages per second,106,messages per second,none,TRUE,FALSE,,,,,,,,
channel/VENUE_NewYork//London_CNE/OrderRouter/,,,,,,London_CNE[OrderRouter] <- [VENUE_NewYork] ,100000,kbps,30304,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/VENUE_NewYork//London_CNE/OrderRouter/Session-1,,,,,,London_CNE[OrderRouter] <- [VENUE_NewYork] Session-1,100000,kbps,30304,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/XCapital-01/London_CNE//CustomerGateway/XCapital-1,,,,,,London_CNE[XCapital-01] -> [CustomerGateway] XCapital-1,100000,kbps,125633,B,10,100,,pnqm,450,messages per second,18,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/XCapital-02/London_CNE//CustomerGateway/XCapital-2,,,,,,London_CNE[XCapital-02] -> [CustomerGateway] XCapital-2,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/XCapital-03//London_CNE/CustomerGateway/XCapital-3,,,,,,[XCapital-03] -> London_CNE[CustomerGateway] XCapital-3,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/Xetra-EBS-A//London_CNE/FeedHandler/,,,,,,[Xetra-EBS-A] -> London_CNE[FeedHandler] ,1000000,kbps,15037899,B,-1,100,,none,13452,kbps,624,kbps,none,FALSE,TRUE,1000000,kbps,0,%,1522,kbps,1499,kbps
channel/Xetra-EBS-B//London_CNE/FeedHandler/,,,,,,[Xetra-EBS-B] -> London_CNE[FeedHandler] ,50000,kbps,15037899,B,-1,100,,none,13452,kbps,627,kbps,none,FALSE,TRUE,50000,kbps,0,%,1522,kbps,1499,kbps
rt-class//London_CNE///Unknown%20Applications/class-default,,,,,,London_CNE[any] -> [any] Unknown Applications - class-default,,,373343951,B,-1,100,,none,74973,kbps,6011,kbps,none,FALSE,TRUE,,,,,,,,
rt-class//London_CNE//DC_Chicago/%40Chicago/class-default,,,,,,London_CNE[any] -> [DC_Chicago] @Chicago - class-default,,,676954692,B,-1,100,,none,45845,kbps,6257,kbps,none,FALSE,TRUE,100000,kbps,2,%,,,,
rt-class//London_CNE//DC_Chicago//class-default,,,,,,London_CNE[any] -> [DC_Chicago]  - class-default,100,remaining %,676946978,B,100,100,,pnqm,21929,kbps,6300,kbps,no-action-required,FALSE,TRUE,100000,kbps,2,%,6213,kbps,5625,kbps
rt-class//London_CNE//DC_Frankfurt/%40Frankfurt/class-default,,,,,,London_CNE[any] -> [DC_Frankfurt] @Frankfurt - class-default,,,422311158,B,70,100,,tcp,98423,kbps,18415,kbps,none,FALSE,TRUE,100000,kbps,1,%,,,,
rt-class//London_CNE//DC_Frankfurt//class-default,,,,,,London_CNE[any] -> [DC_Frankfurt]  - class-default,100,remaining %,422311282,B,70,100,,pnqm,71189,kbps,18342,kbps,no-action-required,FALSE,TRUE,100000,kbps,1,%,45461,kbps,59473,kbps
rt-class//London_CNE//LBM//class-default,,,,,,London_CNE[any] -> [LBM]  - class-default,,,2067300,B,0,100,,tcp,150,messages per second,8,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class//London_CNE//Unmatched%20Traffic/Unmatched%20Traffic/class-default,,,,,,London_CNE[any] -> [Unmatched Traffic] Unmatched Traffic - class-default,,,343359557,B,-1,100,,none,95777,kbps,10965,kbps,none,FALSE,TRUE,,,,,,,,
rt-class//London_CNE/NewJersey_CNE/DC_NewJersey//class-default,,,,,,London_CNE[any] -> NewJersey_CNE[DC_NewJersey]  - class-default,,,0,B,0,100,,tcp,0,kbps,0,kbps,none,FALSE,TRUE,,,,,0,kbps,0,kbps
rt-class/AlgoEngine/London_CNE//VENUE_Chicago/AlgoLatency/class-default,,,,,,London_CNE[AlgoEngine] -> [VENUE_Chicago] AlgoLatency - class-default,,,420060,B,80,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/Arcabook-Equities-A//London_CNE/FeedHandler//class-default,,,,,,[Arcabook-Equities-A] -> London_CNE[FeedHandler]  - class-default,,,103981,B,-1,100,,none,3753,kbps,21,kbps,none,FALSE,TRUE,1000000,kbps,0,%,157,kbps,1,kbps
rt-class/Arcabook-Equities-B//London_CNE/FeedHandler//class-default,,,,,,[Arcabook-Equities-B] -> London_CNE[FeedHandler]  - class-default,,,103981,B,-1,100,,none,2412,kbps,21,kbps,none,FALSE,TRUE,50000,kbps,0,%,157,kbps,1,kbps
rt-class/Arcabook-Options-A//London_CNE/FeedHandler//class-default,,,,,,[Arcabook-Options-A] -> London_CNE[FeedHandler]  - class-default,,,1659048,B,-1,100,,none,34128,kbps,156,kbps,none,FALSE,TRUE,1000000,kbps,0,%,1488,kbps,52,kbps
rt-class/Arcabook-Options-B//London_CNE/FeedHandler//class-default,,,,,,[Arcabook-Options-B] -> London_CNE[FeedHandler]  - class-default,,,1659048,B,-1,100,,none,34128,kbps,156,kbps,none,FALSE,TRUE,50000,kbps,0,%,1482,kbps,52,kbps
rt-class/BATS//London_CNE/FeedHandler/PITCH/class-default,,,,,,[BATS] -> London_CNE[FeedHandler] PITCH - class-default,,,12930185,B,-1,100,,none,15656,kbps,597,kbps,none,FALSE,TRUE,50000,kbps,0,%,1302,kbps,1146,kbps
rt-class/Broker_MetroBank//London_CNE/OrderRouter//class-default,,,,,,London_CNE[OrderRouter] <- [Broker_MetroBank]  - class-default,,,104557,B,-1,100,,none,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/Broker_MetroBank//London_CNE/OrderRouter/Session-1/class-default,,,,,,London_CNE[OrderRouter] <- [Broker_MetroBank] Session-1 - class-default,,,73561,B,-1,100,,none,200,messages per second,9,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/Broker_MetroBank//London_CNE/OrderRouter/Session-2/class-default,,,,,,London_CNE[OrderRouter] <- [Broker_MetroBank] Session-2 - class-default,,,30996,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/Broker_OTCtrade//London_CNE/OrderRouter//class-default,,,,,,London_CNE[OrderRouter] <- [Broker_OTCtrade]  - class-default,,,2094126,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/Broker_OTCtrade//London_CNE/OrderRouter/Session-1/class-default,,,,,,London_CNE[OrderRouter] <- [Broker_OTCtrade] Session-1 - class-default,,,83048,B,-1,100,,none,150,messages per second,14,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/Broker_OTCtrade//London_CNE/OrderRouter/Session-2/class-default,,,,,,London_CNE[OrderRouter] <- [Broker_OTCtrade] Session-2 - class-default,,,2011078,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CME-FixFast-A//London_CNE/FeedHandler/AvB_Latency/class-default,,,,,,[CME-FixFast-A] -> London_CNE[FeedHandler] AvB_Latency - class-default,,,51255480,B,60,100,,pnqm,68116,kbps,2379,kbps,none,FALSE,TRUE,1000000,kbps,0,%,5569,kbps,5334,kbps
rt-class/CME-FixFast-B//London_CNE/FeedHandler//class-default,,,,,,[CME-FixFast-B] -> London_CNE[FeedHandler]  - class-default,,,51255480,B,-1,100,,none,49444,kbps,2363,kbps,none,FALSE,TRUE,50000,kbps,0,%,5569,kbps,5343,kbps
rt-class/CME-MD/London_CNE////class-default,,,,,,London_CNE[CME-MD] -> [any]  - class-default,,,83160,B,0,100,,tcp,1,messages per second,1,messages per second,none,TRUE,FALSE,,,,,,,,
rt-class/CUSTOMERS//London_CNE/CustomerGateway/OrderLatency/class-default,,,,,,[CUSTOMERS] -> London_CNE[CustomerGateway] OrderLatency - class-default,,,11993598,B,60,100,,pnqm,1528,messages per second,92,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUSTOMERS/London_CNE//CustomerGateway/PlantLatency/class-default,,,,,,London_CNE[CUSTOMERS] -> [CustomerGateway] PlantLatency - class-default,,,11993598,B,40,100,,pnqm,1528,messages per second,92,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_AlgoSpeed//London_CNE/CustomerGateway//class-default,,,,,,[CUST_AlgoSpeed] -> London_CNE[CustomerGateway]  - class-default,,,3193696,B,10,100,,pnqm,650,messages per second,31,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_AlphaChase/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_AlphaChase] -> [CustomerGateway]  - class-default,,,389738,B,10,100,,pnqm,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Arco/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Arco] -> [CustomerGateway]  - class-default,,,1062087,B,70,100,,pnqm,600,messages per second,19,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Bergman//London_CNE/CustomerGateway//class-default,,,,,,[CUST_Bergman] -> London_CNE[CustomerGateway]  - class-default,,,7492466,B,480,100,,pnqm,650,messages per second,60,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps-BusinessHours/class-default,,,,,,[CUST_Bergman] -> London_CNE[CustomerGateway] TrafficGaps-BusinessHours - class-default,,,851364,B,-1,100,,none,267,kbps,22,kbps,none,FALSE,TRUE,100000,kbps,0,%,36,kbps,4,kbps
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps/class-default,,,,,,[CUST_Bergman] -> London_CNE[CustomerGateway] TrafficGaps - class-default,,,851364,B,10,100,,tcp,267,kbps,22,kbps,none,FALSE,TRUE,100000,kbps,0,%,36,kbps,4,kbps
rt-class/CUST_BlaiseCapital/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_BlaiseCapital] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_BriteEdge/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_BriteEdge] -> [CustomerGateway]  - class-default,,,5594816,B,540,100,,pnqm,500,messages per second,51,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_BroadwayLLC/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_BroadwayLLC] -> [CustomerGateway]  - class-default,,,12480,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_CLine/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_CLine] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Clearborn/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Clearborn] -> [CustomerGateway]  - class-default,,,11754,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_DarkCross/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_DarkCross] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_Excalibur/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_Excalibur] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_FlowCapital//London_CNE/CustomerGateway//class-default,,,,,,[CUST_FlowCapital] -> London_CNE[CustomerGateway]  - class-default,,,839592,B,60,100,,pnqm,1528,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_GreenSyke/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_GreenSyke] -> [CustomerGateway]  - class-default,,,62402,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_HedgeFuture/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_HedgeFuture] -> [CustomerGateway]  - class-default,,,1164678,B,50,100,,pnqm,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_JJR-inc/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_JJR-inc] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_LaSalle/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_LaSalle] -> [CustomerGateway]  - class-default,,,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
rt-class/CUST_MapleGroup/London_CNE//CustomerGateway//class-default,,,,,,London_CNE[CUST_MapleGroup] -> [CustomerGateway]  - class-default,,,53561,B,100,100,,pnqm,50,messages per second,2,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
