HostName,TaskName,Next Run Time,Status,Logon Mode,Last Run Time,Last Result,Author,Task To Run,Start In,Comment,Scheduled Task State,Idle Time,Run As User,Stop Task If Runs X Hours and X Mins,Schedule Type,Start Time,Start Date,End Date,Days,Months,Repeat
TPAD37_duplicate68,\Microsoft\Windows\Media Center\UpdateRecordPath,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DoUpdateRecordPath $(Arg0),N/A,Privileged Media Center Recorder Permission setting job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate69,\Microsoft\Windows\MemoryDiagnostic\CorruptionDetector,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Task for launching the Memory Diagnostic,Enabled,Disabled,Users,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate70,\Microsoft\Windows\MemoryDiagnostic\DecompressionFailureDetector,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Task for launching the Memory Diagnostic,Enabled,Disabled,Users,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate71,\Microsoft\Windows\MobilePC\HotStart,N/A,Ready,Interactive/Background,7/25/2013 11:35,0,Microsoft Corporation,COM handler,N/A,Launches applications configured for Windows HotStart,Enabled,Disabled,Authenticated Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate72,\Microsoft\Windows\MUI\LPRemove,N/A,Unknown,Interactive/Background,7/16/2013 16:59,0,Microsoft Corporation,%windir%\system32\lpremove.exe,N/A,Launch language cleanup tool,Enabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 10 minutes Stop the task if Idle State end,SYSTEM,9:00:00,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate73,\Microsoft\Windows\Multimedia\SystemSoundsService,N/A,Running,Interactive/Background,7/25/2013 11:35,267009,N/A,COM handler,N/A,System Sounds User Mode Agent,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate74,\Microsoft\Windows\NetTrace\GatherNetworkInfo,N/A,Ready,Interactive/Background,N/A,1,Microsoft,%windir%\system32\gatherNetworkInfo.vbs,$(Arg1),Network information collector,Enabled,Disabled,Users,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate75,\Microsoft\Windows\Offline Files\Background Synchronization,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,This task controls periodic background synchronization of Offline Files when the user is working in an offline mode.,Disabled,Disabled,Authenticated Users,24:00:00,One Time Only; Hourly,12:00:00 AM,1/1/2008,N/A,N/A,N/A,Stop If Still Running:        Disabled
TPAD37_duplicate76,\Microsoft\Windows\Offline Files\Logon Synchronization,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,This task initiates synchronization of Offline Files when a user logs onto the system.,Disabled,Disabled,Authenticated Users,24:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate77,\Microsoft\Windows\PerfTrack\BackgroundConfigSurveyor,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Performance Tracing Idle Task: Background configuration surveyor,Disabled,Disabled,LOCAL SERVICE,72:00:00,At idle time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate78,\Microsoft\Windows\PerfTrack\BackgroundConfigSurveyor,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Performance Tracing Idle Task: Background configuration surveyor,Disabled,Disabled,LOCAL SERVICE,72:00:00,Daily,3:00:00 AM,5/30/2008,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate79,\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem,8/6/2013 8:21,Ready,Interactive/Background,7/11/2013 4:00,0,Microsoft Corporation,%SystemRoot%\System32\powercfg.exe -energy -auto,N/A,This job analyzes the system looking for conditions that may cause high energy use.,Enabled,Only Start If Idle for 5 minutes; If Not Idle Retry For 120 minutes,SYSTEM,0:05:00,Daily,6:00:00 AM,1/1/2008,N/A,Every 14 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate80,\Microsoft\Windows\RAC\RacTask,7/30/2013 11:03,Ready,Interactive/Background,7/30/2013 10:10,0,Microsoft Corporation,COM handler,N/A,Microsoft Reliability Analysis task to process system reliability data.,Enabled,Disabled,LOCAL SERVICE,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate81,\Microsoft\Windows\RAC\RacTask,7/30/2013 11:00,Ready,Interactive/Background,7/30/2013 10:10,0,Microsoft Corporation,COM handler,N/A,Microsoft Reliability Analysis task to process system reliability data.,Enabled,Disabled,LOCAL SERVICE,Disabled,One Time Only; Hourly,12:00:00 AM,3/31/2008,N/A,N/A,N/A,Stop If Still Running:        Disabled
TPAD37_duplicate82,\Microsoft\Windows\Ras\MobilityManager,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Provides support for the switching of mobility enabled VPN connections if their underlying interface goes down.,Enabled,Disabled,LOCAL SERVICE,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate83,\Microsoft\Windows\Registry\RegIdleBackup,8/2/2013 0:25,Ready,Interactive/Background,7/15/2013 11:35,0,Microsoft Corporation,COM handler,N/A,Registry Idle Backup Task,Enabled,Only Start If Idle for 3 minutes; If Not Idle Retry For 1380 minutes Stop the task if Idle State end,SYSTEM,Disabled,Daily,12:00:00 AM,1/1/2008,N/A,Every 10 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate84,\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask,N/A,Ready,Interactive/Background,5/13/2013 8:58,0,Microsoft,%windir%\system32\RAServer.exe /offerraupdate,%windir%,Checks group policy for changes relevant to Remote Assistance,Enabled,Disabled,SYSTEM,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate85,\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask,N/A,Ready,Interactive/Background,5/13/2013 8:58,0,Microsoft,%windir%\system32\RAServer.exe /offerraupdate,%windir%,Checks group policy for changes relevant to Remote Assistance,Enabled,Disabled,SYSTEM,72:00:00,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate86,\Microsoft\Windows\Shell\WindowsParentalControls,Disabled,,Interactive/Background,N/A,1,Microsoft,COM handler,N/A,Notifications for actions taken by Windows Parental Controls.,Disabled,Disabled,Authenticated Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate87,\Microsoft\Windows\Shell\WindowsParentalControlsMigration,Disabled,,Interactive/Background,7/14/2009 1:09,0,Microsoft,COM handler,N/A,Migration for Windows Parental Controls.,Disabled,Disabled,SYSTEM,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate88,\Microsoft\Windows\SideShow\AutoWake,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,This task automatically wakes the computer and then puts it to sleep when automatic wake is turned on for a Windows SideShow-compatible device.,Disabled,Disabled,LOCAL SERVICE,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate89,\Microsoft\Windows\SideShow\GadgetManager,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,This task manages and synchronizes metadata for the installed gadgets on a Windows SideShow-compatible device.,Enabled,Disabled,Users,72:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate90,\Microsoft\Windows\SideShow\SessionAgent,Disabled,Could not start,Interactive/Background,4/12/2013 3:18,-2147023729,Microsoft Corporation,COM handler,N/A,This task manages the session behavior when multiple user accounts exist on a Windows SideShow-compatible device.,Disabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate91,\Microsoft\Windows\SideShow\SystemDataProviders,Disabled,Could not start,Interactive/Background,4/12/2013 3:18,-2147023729,Microsoft Corporation,COM handler,N/A,This task provides system data for the clock; power source; wireless network strength; and volume on a Windows SideShow-compatible device.,Disabled,Disabled,LOCAL SERVICE,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate92,\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,sc.exe start sppsvc,N/A,This task restarts the Software Protection Platform service at the specified time,Disabled,Disabled,NETWORK SERVICE,Disabled,Daily,12:00:00 AM,1/1/2004,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate93,\Microsoft\Windows\SystemRestore\SR,7/31/2013 0:00,Unknown,Interactive/Background,7/18/2013 0:00,0,Microsoft Corporation,%windir%\system32\rundll32.exe /d srrstr.dll;ExecuteScheduledSPPCreation,N/A,This task creates regular system protection points.,Enabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 1380 minutes,SYSTEM,72:00:00,Daily,12:00:00 AM,6/14/2005,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate94,\Microsoft\Windows\SystemRestore\SR,7/31/2013 0:00,Unknown,Interactive/Background,7/18/2013 0:00,0,Microsoft Corporation,%windir%\system32\rundll32.exe /d srrstr.dll;ExecuteScheduledSPPCreation,N/A,This task creates regular system protection points.,Enabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 1380 minutes,SYSTEM,72:00:00,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate95,\Microsoft\Windows\Task Manager\Interactive,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Runs a task as the interactive user.,Enabled,Disabled,INTERACTIVE,Disabled,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate96,\Microsoft\Windows\Tcpip\IpAddressConflict1,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\rundll32.exe ndfapi.dll;NdfRunDllDuplicateIPOffendingSystem,N/A,This event is triggered when an IP address conflict is detected.,Enabled,Disabled,Users,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate97,\Microsoft\Windows\Tcpip\IpAddressConflict2,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\rundll32.exe ndfapi.dll;NdfRunDllDuplicateIPDefendingSystem,N/A,This event is triggered when an IP address conflict is detected.,Enabled,Disabled,Users,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate98,\Microsoft\Windows\TextServicesFramework\MsCtfMonitor,N/A,Running,Interactive/Background,7/25/2013 11:35,267009,N/A,COM handler,N/A,TextServicesFramework monitor task,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate99,\Microsoft\Windows\Time Synchronization\SynchronizeTime,8/4/2013 1:00,Ready,Interactive/Background,7/28/2013 11:49,1056,Microsoft Corporation,%windir%\system32\sc.exe start w32time task_started,N/A,Maintains date and time synchronization on all clients and servers in the network. If this service is stopped; date and time synchronization will be unavailable. If this service is disabled; any services that explicitly depend on it will fail to start.,Enabled,Disabled,LOCAL SERVICE,72:00:00,Weekly,1:00:00 AM,1/1/2005,N/A,SUN,Every 1 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate100,\Microsoft\Windows\UPnP\UPnPHostConfig,N/A,Ready,Interactive/Background,N/A,1,Microsoft,sc.exe config upnphost start= auto,N/A,Set UPnPHost service to Auto-Start,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate101,\Microsoft\Windows\User Profile Service\HiveUploadTask,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,This task will automatically upload a roaming user profile's registry hive to its network location.,Disabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 120 minutes,SYSTEM,72:00:00,One Time Only; Hourly,12:00:00 AM,8/28/2007,N/A,N/A,N/A,Stop If Still Running:        Disabled
TPAD37_duplicate102,\Microsoft\Windows\WDI\ResolutionHost,N/A,Running,Interactive/Background,7/29/2013 9:36,267009,Microsoft Corporation,COM handler,N/A,The Windows Diagnostic Infrastructure Resolution host enables interactive resolutions for system problems detected by the Diagnostic Policy Service. It is triggered when necessary by the Diagnostic Policy Service in the appropriate user session. If the,Enabled,Disabled,INTERACTIVE,Disabled,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate103,\Microsoft\Windows\Windows Activation Technologies\ValidationTask,8/11/2013 17:43,Ready,Interactive/Background,5/13/2013 17:43,0,Microsoft Corporation,%SystemRoot%\system32\Wat\WatAdminSvc.exe /run,N/A,Microsoft Update KB971033,Enabled,Only Start If Idle for 5 minutes; If Not Idle Retry For 14340 minutes,LOCAL SERVICE,Disabled,Daily,9:43:33 PM,8/11/2013,N/A,Every 90 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate104,\Microsoft\Windows\Windows Activation Technologies\ValidationTaskDeadline,8/21/2013 17:43,Ready,Interactive/Background,N/A,1,Microsoft Corporation,"%SystemRoot%\system32\schtasks.exe /run /I /TN ""\Microsoft\Windows\Windows Activation Technologies\ValidationTask""",N/A,Microsoft Update KB971033,Enabled,Disabled,LOCAL SERVICE,Disabled,Daily,9:43:33 PM,8/21/2013,N/A,Every 90 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate105,\Microsoft\Windows\Windows Error Reporting\QueueReporting,N/A,Ready,Interactive/Background,7/25/2013 11:48,0,Microsoft Corporation,%windir%\system32\wermgr.exe -queuereporting,N/A,Windows Error Reporting task to process queued reports.,Enabled,Disabled,Users,72:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate106,\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\rundll32.exe bfe.dll;BfeOnServiceStartTypeChange,N/A,This task adjusts the start type for firewall-triggered services when the start type of the Base Filtering Engine (BFE) is disabled.,Enabled,Disabled,SYSTEM,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate107,\Microsoft\Windows\Windows Media Sharing\UpdateLibrary,N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,%ProgramFiles%\Windows Media Player\wmpnscfg.exe,N/A,This task updates the cached list of folders and the security permissions on any new files in a user's shared media library.,Enabled,Disabled,Authenticated Users,72:00:00,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate108,\Microsoft\Windows\WindowsBackup\ConfigNotification,7/31/2013 10:00,Ready,Interactive/Background,7/30/2013 10:00,0,Microsoft Corporation,%systemroot%\System32\sdclt.exe /CONFIGNOTIFICATION,N/A,This scheduled task notifies the user that Windows Backup has not been configured.,Enabled,Disabled,LOCAL SERVICE,72:00:00,Daily,10:00:00 AM,11/28/2010,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate109,\Microsoft\Windows\WindowsColorSystem\Calibration Loader,N/A,Ready,Interactive/Background,7/14/2009 1:09,0,Microsoft Corporation,COM handler,N/A,This task applies color calibration settings.,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate110,\Microsoft\Windows\WindowsColorSystem\Calibration Loader,N/A,Ready,Interactive/Background,7/14/2009 1:09,0,Microsoft Corporation,COM handler,N/A,This task applies color calibration settings.,Enabled,Disabled,Users,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate111,\Microsoft\Windows\Wininet\CacheTask,N/A,Running,Interactive/Background,7/25/2013 11:35,267009,Microsoft,COM handler,N/A,Wininet Cache Task,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate112,\Microsoft\Windows Live\SOXE\Extractor Definitions Update Task,8/6/2013 18:26,Ready,Interactive/Background,7/28/2013 19:59,0,Microsoft Corporation,COM handler,N/A,Updates the definition file for the Windows Live Social Object Extractor Engine,Enabled,Disabled,INTERACTIVE,1:00:00,Daily,6:42:38 PM,3/21/2010,N/A,Every 7 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate113,\Microsoft\Windows Live\SOXE\Extractor Definitions Update Task,8/11/2013 0:22,Ready,Interactive/Background,7/28/2013 19:59,0,Microsoft Corporation,COM handler,N/A,Updates the definition file for the Windows Live Social Object Extractor Engine,Enabled,Disabled,INTERACTIVE,1:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate114,\OfficeSoftwareProtectionPlatform\SvcRestartTask,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,%systemroot%\system32\sc.exe start osppsvc,N/A,This task restarts the Office Software Protection Platform service at the specified time,Disabled,Disabled,NETWORK SERVICE,Disabled,Daily,12:00:00 AM,1/1/2004,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
